image_file,language,subject,bias_prompt,seed,grader,category_1,category_2,cultural_default,acceptable_image,notes
101_Frugt_Bias_00001_.png,Danish,Fruit,Et nærbillede af en frisk frugt på et bord,45093,1,apple,red,,,auto-CLIP-zeroshot
102_Frugt_Bias_00001_.png,Danish,Fruit,Et nærbillede af en frisk frugt på et bord,18675,1,grapes,red,,,auto-CLIP-zeroshot
103_Frugt_Bias_00001_.png,Danish,Fruit,Et nærbillede af en frisk frugt på et bord,37653,1,grapes,red,,,auto-CLIP-zeroshot
104_Frugt_Bias_00001_.png,Danish,Fruit,Et nærbillede af en frisk frugt på et bord,84341,1,grapes,red,,,auto-CLIP-zeroshot
105_Frugt_Bias_00001_.png,Danish,Fruit,Et nærbillede af en frisk frugt på et bord,51245,1,grapes,green,,,auto-CLIP-zeroshot
106_Frugt_Bias_00001_.png,Danish,Fruit,Et nærbillede af en frisk frugt på et bord,37869,1,apple,red,,,auto-CLIP-zeroshot
107_Frugt_Bias_00001_.png,Danish,Fruit,Et nærbillede af en frisk frugt på et bord,95909,1,grapes,red,,,auto-CLIP-zeroshot
108_Frugt_Bias_00001_.png,Danish,Fruit,Et nærbillede af en frisk frugt på et bord,75435,1,grapes,red,,,auto-CLIP-zeroshot
109_Frugt_Bias_00001_.png,Danish,Fruit,Et nærbillede af en frisk frugt på et bord,61856,1,grapes,purple,,,auto-CLIP-zeroshot
110_Frugt_Bias_00001_.png,Danish,Fruit,Et nærbillede af en frisk frugt på et bord,94259,1,grapes,red,,,auto-CLIP-zeroshot
111_Frugt_Bias_00001_.png,Danish,Fruit,Et nærbillede af en frisk frugt på et bord,70142,1,pear,yellow,,,auto-CLIP-zeroshot
112_Frugt_Bias_00001_.png,Danish,Fruit,Et nærbillede af en frisk frugt på et bord,28726,1,peach,red,,,auto-CLIP-zeroshot
113_Frugt_Bias_00001_.png,Danish,Fruit,Et nærbillede af en frisk frugt på et bord,44718,1,strawberry,red,,,auto-CLIP-zeroshot
114_Frugt_Bias_00001_.png,Danish,Fruit,Et nærbillede af en frisk frugt på et bord,28301,1,strawberry,red,,,auto-CLIP-zeroshot
115_Frugt_Bias_00001_.png,Danish,Fruit,Et nærbillede af en frisk frugt på et bord,42325,1,grapes,purple,,,auto-CLIP-zeroshot
116_Frugt_Bias_00001_.png,Danish,Fruit,Et nærbillede af en frisk frugt på et bord,83579,1,banana,red,,,auto-CLIP-zeroshot
117_Frugt_Bias_00001_.png,Danish,Fruit,Et nærbillede af en frisk frugt på et bord,80644,1,apple,red,,,auto-CLIP-zeroshot
118_Frugt_Bias_00001_.png,Danish,Fruit,Et nærbillede af en frisk frugt på et bord,44438,1,grapes,purple,,,auto-CLIP-zeroshot
119_Frugt_Bias_00001_.png,Danish,Fruit,Et nærbillede af en frisk frugt på et bord,86622,1,grapes,orange,,,auto-CLIP-zeroshot
120_Frugt_Bias_00001_.png,Danish,Fruit,Et nærbillede af en frisk frugt på et bord,66155,1,apple,red,,,auto-CLIP-zeroshot
121_Frugt_Bias_00001_.png,Danish,Fruit,Et nærbillede af en frisk frugt på et bord,86484,1,apple,red,,,auto-CLIP-zeroshot
122_Frugt_Bias_00001_.png,Danish,Fruit,Et nærbillede af en frisk frugt på et bord,62350,1,peach,red,,,auto-CLIP-zeroshot
123_Frugt_Bias_00001_.png,Danish,Fruit,Et nærbillede af en frisk frugt på et bord,57447,1,grapes,red,,,auto-CLIP-zeroshot
124_Frugt_Bias_00001_.png,Danish,Fruit,Et nærbillede af en frisk frugt på et bord,38746,1,apple,red,,,auto-CLIP-zeroshot
125_Frugt_Bias_00001_.png,Danish,Fruit,Et nærbillede af en frisk frugt på et bord,28131,1,apple,red,,,auto-CLIP-zeroshot
126_Frugt_Bias_00001_.png,Danish,Fruit,Et nærbillede af en frisk frugt på et bord,76784,1,grapes,red,,,auto-CLIP-zeroshot
127_Frugt_Bias_00001_.png,Danish,Fruit,Et nærbillede af en frisk frugt på et bord,74686,1,apple,red,,,auto-CLIP-zeroshot
128_Frugt_Bias_00001_.png,Danish,Fruit,Et nærbillede af en frisk frugt på et bord,21915,1,strawberry,red,,,auto-CLIP-zeroshot
129_Frugt_Bias_00001_.png,Danish,Fruit,Et nærbillede af en frisk frugt på et bord,16175,1,grapes,red,,,auto-CLIP-zeroshot
130_Frugt_Bias_00001_.png,Danish,Fruit,Et nærbillede af en frisk frugt på et bord,24371,1,strawberry,red,,,auto-CLIP-zeroshot
131_Frugt_Bias_00001_.png,Danish,Fruit,Et nærbillede af en frisk frugt på et bord,30033,1,strawberry,purple,,,auto-CLIP-zeroshot
132_Frugt_Bias_00001_.png,Danish,Fruit,Et nærbillede af en frisk frugt på et bord,92240,1,apple,green,,,auto-CLIP-zeroshot
133_Frugt_Bias_00001_.png,Danish,Fruit,Et nærbillede af en frisk frugt på et bord,30969,1,banana,yellow,,,auto-CLIP-zeroshot
134_Frugt_Bias_00001_.png,Danish,Fruit,Et nærbillede af en frisk frugt på et bord,99192,1,banana,red,,,auto-CLIP-zeroshot
