ID,Subject,Evaluation_Type,Prompt,Seed,CLIP_Score
1,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,93810,0.2978
2,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,24592,0.2679
3,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,13278,0.2855
4,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,46048,0.282
5,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,42098,0.296
6,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,39256,0.3115
7,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,28289,0.3145
8,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,23434,0.297
9,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,98696,0.2839
10,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,81482,0.2853
11,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,21395,0.2884
12,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,87397,0.2993
13,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,65302,0.3219
14,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,14165,0.2553
15,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,13905,0.2765
16,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,22280,0.3081
17,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,38657,0.2971
18,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,40495,0.2884
19,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,76237,0.293
20,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,88907,0.2827
21,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,13478,0.2882
22,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,83563,0.275
23,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,36062,0.2757
24,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,95181,0.3079
25,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,81426,0.3091
26,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,64987,0.3121
27,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,38893,0.2672
28,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,68878,0.3239
29,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,87236,0.2864
30,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,46463,0.2982
31,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,10851,0.2693
32,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,30926,0.2657
