ID,Subject,Evaluation_Type,Prompt,Seed
001,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,93810
002,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,24592
003,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,13278
004,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,46048
005,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,42098
006,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,39256
007,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,28289
008,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,23434
009,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,98696
010,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,81482
011,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,21395
012,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,87397
013,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,65302
014,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,14165
015,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,13905
016,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,22280
017,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,38657
018,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,40495
019,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,76237
020,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,88907
021,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,13478
022,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,83563
023,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,36062
024,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,95181
025,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,81426
026,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,64987
027,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,38893
028,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,68878
029,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,87236
030,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,46463
031,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,10851
032,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,30926
033,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,65392
034,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,54597
035,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,46421
036,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,30379
037,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,38221
038,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,54118
039,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,23396
040,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,22156
041,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,59797
042,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,22676
043,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,57052
044,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,55082
045,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,89131
046,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,44671
047,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,15695
048,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,70217
049,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,80284
050,Frugt,Baseline_Accuracy,Et nærbillede af en frisk frugt på et bord,26361
051,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,59615
052,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,20328
053,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,82357
054,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,48427
055,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,92397
056,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,91070
057,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,57400
