ID,Subject,Evaluation_Type,Prompt,Seed,CLIP_Score,clip_own_repro,clip_vs_enref
1,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,93810,0.2978,0.2978,0.2978
2,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,24592,0.2679,0.2679,0.2679
3,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,13278,0.2855,0.2855,0.2855
4,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,46048,0.282,0.282,0.282
5,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,42098,0.296,0.296,0.296
6,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,39256,0.3115,0.3115,0.3115
7,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,28289,0.3145,0.3145,0.3145
8,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,23434,0.297,0.297,0.297
9,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,98696,0.2839,0.2839,0.2839
10,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,81482,0.2853,0.2853,0.2853
11,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,21395,0.2884,0.2884,0.2884
12,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,87397,0.2993,0.2993,0.2993
13,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,65302,0.3219,0.3219,0.3219
14,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,14165,0.2553,0.2553,0.2553
15,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,13905,0.2765,0.2765,0.2765
16,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,22280,0.3081,0.3081,0.3081
17,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,38657,0.2971,0.2971,0.2971
18,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,40495,0.2884,0.2884,0.2884
19,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,76237,0.293,0.293,0.293
20,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,88907,0.2827,0.2827,0.2827
21,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,13478,0.2882,0.2882,0.2882
22,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,83563,0.275,0.275,0.275
23,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,36062,0.2757,0.2757,0.2757
24,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,95181,0.3079,0.3079,0.3079
25,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,81426,0.3091,0.3091,0.3091
26,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,64987,0.3121,0.3121,0.3121
27,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,38893,0.2672,0.2672,0.2672
28,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,68878,0.3239,0.3239,0.3239
29,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,87236,0.2864,0.2864,0.2864
30,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,46463,0.2982,0.2982,0.2982
31,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,10851,0.2693,0.2693,0.2693
32,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,30926,0.2657,0.2657,0.2657
33,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,65392,0.2914,0.2914,0.2914
34,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,54597,0.322,0.322,0.322
35,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,46421,0.3007,0.3007,0.3007
36,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,30379,0.2979,0.2979,0.2979
37,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,38221,0.2713,0.2713,0.2713
38,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,54118,0.2802,0.2802,0.2802
39,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,23396,0.2501,0.2501,0.2501
40,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,22156,0.2661,0.2661,0.2661
41,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,59797,0.2586,0.2586,0.2586
42,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,22676,0.301,0.301,0.301
43,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,57052,0.2907,0.2907,0.2907
44,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,55082,0.2879,0.2879,0.2879
45,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,89131,0.2997,0.2997,0.2997
46,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,44671,0.2681,0.2681,0.2681
47,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,15695,0.301,0.301,0.301
